index,data_ocorrencia,modelo,registro,operador,local_acidente,numero_de_vitimas,ano,mes,mes_nome
814,24-SEP-2012,CESSNA 210L CENTURION,PT-KSB,PARAMAZÔNIA,"CANTÁ, RORAIMA",1,2012,9,SETEMBRO
815,22-SEP-2012,CESSNA 170A,PT-ANF,PRIVATE,TAPIRAMUTÁ - BA,0,2012,9,SETEMBRO
816,20-SEP-2012,EUROCOPTER EC 130B4,PR-DKK,GRUPO EXPRESSO BRASILEIRO,"ITAMARAJU, BAHIA",1,2012,9,SETEMBRO
817,13-SEP-2012,BOEING 767-332ER,N173DZ,DELTA AIR LINES,"GUARULHOS INTERNATIONAL AIRPORT, SÃO PAULO",0,2012,9,SETEMBRO
818,09-SEP-2012,CESSNA 172N SKYHAWK,N1009F,PRIVATE,"ACREUNA AIRPORT - SJER, GO",4,2012,9,SETEMBRO
819,09-SEP-2012,CESSNA 172R,PT-WYK,UNKNOWN (ILLEGAL FLIGHT),"SÃO FRANCISCO DO FLEXAL, AMAPÁ",1,2012,9,SETEMBRO
820,25-AUG-2012,CESSNA 210N CENTURION,PT-OKZ,PRIVATE,"ÁGUA CLARA, MATO GROSSO DO SUL",3,2012,8,AGOSTO
821,22-AUG-2012,EMBRAER EMB-720D MINUANO,PT-RPU,ORTIZ AEROTAXI,"PAUINI AIRPORT, AMAZONAS",1,2012,8,AGOSTO
822,21-AUG-2012,PIPER PA-46R-350T MATRIX,PT-FEM,PRIVATE,RIO DE JANEIRO COAST SOUTH (INDETERMINED),2,2012,8,AGOSTO
823,21-AUG-2012,AERO BOERO AB-115,PP-GGR,AEROCLUBE DE PONTA GROSSA,"PALMEIRA, CAMPOS GERAIS, PARANÁ",1,2012,8,AGOSTO
824,20-AUG-2012,HELIBRAS 350B ESQUILO,PT-HZE,ESCOLA DE PILOTAGEM LTDA (EFAI) - FLY SCHOOL,"CARLOS PRATES AIRPORT, BELO HORIZONTE, MINAS GERAIS",0,2012,8,AGOSTO
825,19-AUG-2012,ROBINSON R44 ASTRO,PT-YPY,PRIVATE,"BETWEEN ITAQUAQUECETUBA AND ARUJA, SÃO PAULO",0,2012,8,AGOSTO
826,18-AUG-2012,EMBRAER (NEIVA) EMB-711C CORISCO,PT-NKA,PRIVATE,"SANTA BÁRBARA D’OESTE , SÃO PAULO",4,2012,8,AGOSTO
827,18-AUG-2012,EMBRAER (NEIVA) EMB-711C CORISCO,PT-NIR,PRIVATE,"SANTA BÁRBARA D’OESTE , SÃO PAULO",4,2012,8,AGOSTO
828,17-AUG-2012,CESSNA 560 CITATION V,PT-FTB,TAM JATOS EXECUTIVOS,"JACAREPAGUÁ AIRPORT, RIO DE JANEIRO",0,2012,8,AGOSTO
829,15-AUG-2012,ZENAIR STOL CH 701,PU-BKL,,"CAMPANHA, MINAS GERAIS",0,2012,8,AGOSTO
830,13-AUG-2012,CESSNA 172M,PT-KCS,,"TARUMIRIM, MINAS GERIAS",0,2012,8,AGOSTO
831,08-AUG-2012,AÉROSPATIALE AS 350B2 ECUREUIL,PR-DMG,POWER AVIATION IMPORTAÇÃO LTDA.,"ALTO DO MUNDAÍ, PORTO SEGURO, BAHIA",0,2012,8,AGOSTO
832,02-AUG-2012,CESSNA 150L,PR-LTB,AEROCLUBE DE GOIÁS,"GOIÂNIA, GOIÁS",0,2012,8,AGOSTO
833, 28-JUL-2012,BEECH B200 SUPER KING AIR,PR-DOC,VILMA ALIMENTOS,"JUIZ DE FORA-FRANCISCO DE ASSIS AIRPORT, MG (JDF)",8,2012,7,JULHO
834,2012-07-24 00:00:00,PIPER PA-31-310 NAVAJO C,PT-WOT,FUGRO LASA,"RECREIO BEACH, WEST OF RIO DE JANEIRO",0,2012,7,JULHO
835,2012-07-22 00:00:00,NHAPECAN IPE-02B,PP-FJF,AEROCLUBE DE BEBEDOURO,"BEBEDOURO, SAO PAULO",1,2012,7,JULHO
836,2012-07-12 00:00:00,CESSNA T210M TURBO CENTURION,PR-ORV,,"UBERABA AIRPORT - SBUR, UBERABA, MG",0,2012,7,JULHO
837,2012-07-12 00:00:00,EMBRAER EMB-121A1 XINGÚ II,PT-MAB,BANJET TÁXI AÉREO,"NEAR ILHA CATAGUASES, ANGRA DOS REIS, RJ",3,2012,7,JULHO
838,2012-07-11 00:00:00,CZ-120,PU-ATQ,,"BEACH IN GRUMARI, RIO DE JANEIRO",0,2012,7,JULHO
839,2012-07-11 00:00:00,ROBINSON R22 BETA,PT-HOL,GO AIR (MASTER ESCOLA DE AVIAÇÃO CIVIL),"200 GUAICURUS STREET, ÁGUA BRANCA, WEST ZONE OF SÃO PAULO CITY",2,2012,7,JULHO
840,2012-07-09 00:00:00,CESSNA 208 CARAVAN I,PT-OQR,LBK LOCAÇÃO DE AERONAVES LTDA,"NATIONAL CENTER OF SKYDIVING OF BOITUVA, SAO PAULO",1,2012,7,JULHO
841,2012-07-07 00:00:00,EMBRAER A-29A SUPER TUCANO,,FORÇA AÉREA BRASILEIRA (FAB),"5 KM FROM CAMPO GRANDE, MS",1,2012,7,JULHO
842,2012-07-06 00:00:00,EMBRAER EMB-820C NAVAJO,PT-ENG,MICROSURVEY AÉREOGEOFÍSICA & SCIENTIFIC ADV. BOARD,"MUNDÃO FARM, 60 KMS FROM ESPINOSA, MINAS GERAIS",1,2012,7,JULHO
843,2012-07-04 00:00:00,VIMANA R-12,PU-IRZ,PRIVATE,"FAZENDA DRACENA, NOVA UBIRATÃ-MT",2,2012,7,JULHO
844,2012-06-30 00:00:00,CESSNA T210L CENTURION,PR-SMH,UNKNOWN (ILLEGAL FLIGHT),"30 KM FROM PRATA, MG",2,2012,6,JUNHO
845,2012-06-26 00:00:00,EMBRAER EMB-720D MINUANO,PT-WBJ,,"NEAR CANARANA AIRPORT - SWEK, CANARANA, MATO GROSSO",0,2012,6,JUNHO
846,2012-06-13 00:00:00,EMBRAER EMB-721C SERTANEJO,PT-EKM,,"SINOP, MATO GROSSO",0,2012,6,JUNHO
847,2012-06-11 00:00:00,AIRBUS A320-214,PR-MHN,TAM AIRLINES,"BRASÍLIA-PRESIDENTE JUSCELINO KUBITSCHEK INTERNATIONAL AIRPORT, DF (BS",0,2012,6,JUNHO
848,2012-06-04 00:00:00,EMBRAER T-27 TUCANO,,FORÇA AÉREA BRASILEIRA (FAB),"BA PIRASSUNUNGA, SP",1,2012,6,JUNHO
849,2012-06-02 00:00:00,PIPER PA-28R-200 CHEROKEE ARROW II,PT-KRF,AERO CLUBE DE SÃO PAULO,"PARADA DE TAIPAS, ZONA NORTE DE SÃO PAULO",1,2012,6,JUNHO
850,28-MAY-2012,PIPER PA-28-140 CHEROKEE F,PT-JEO,AEROCLUBE DE PONTA GROSSA,"ABOUT 1.5 KM FROM PONTA GROSSA AIRPORT - SBGS, PARANA",0,2012,5,MAIO
851,26-MAY-2012,EMBRAER EMB-712 TUPI,PT-NYV,,"SBPR - CARLOS PRATES AIRPORT, BELO HORIZONTE/MG",0,2012,5,MAIO
852,19-MAY-2012,AIRBUS A320-214,PR-MYP,TAM,"NATAL-AUGUSTO SEVERO INTERNATIONAL AIRPORT, RN (NAT/SBNT)",0,2012,5,MAIO
853,08-MAY-2012,AGUSTAWESTLAND AW119 MK II,PP-CGO,POLÍCIA CIVIL DE GOIÁ,"NEAR PIRANHAS, GOIÁS",8,2012,5,MAIO
854,27-APR-2012,EMBRAER EMB-712 TUPI,PT-RPT,CFA AVIATION SCHOOL,"MANGUE SECO, BAHIA",0,2012,4,ABRIL
855,26-APR-2012,EMBRAER EMB-712 TUPI,PT-NUH,AEROCLUBE DE JUNDIAÍ,"NEAR MORRO DOS ANDRADAS, GUARUJÁ - SP",2,2012,4,ABRIL
856,20-APR-2012,CESSNA T206H TURBO STATIONAIR,PR-CRR,PRIVATE,"7 KM FROM MACAPÁ-ALBERTO ALCOLUMBRE INT. APT. - SBMQ, AMAPA STATE",2,2012,4,ABRIL
857,20-APR-2012,BEECHCRAFT C90B KING AIR,PP-WCA,PRIVATE,"NEAR COMANDANTE ROLIM ADOLFO AMARO STATE AIRPORT - SBJD, JUNDIAÍ, SP",1,2012,4,ABRIL
858,12-APR-2012,NORTH AMERICAN T-28B TROJAN,PP-ZFE,PRIVATE,"DR. JOSÉ AUGUSTO DE OLIVEIRA BOTELHO AIRPORT - SDJA, NEAR ITIRAPINA",2,2012,4,ABRIL
859,08-APR-2012,STARFLIGHT FOX V6 SUPER,PU-ANG,PRIVATE,"ARARANGUÁ, SOUTHERN SANTA CATARINA",2,2012,4,ABRIL
860,03-APR-2012,EMBRAER EMB-201 IPANEMA,PT-GGE,,"SÃO JOSÉ FARM , ABOUT 30KM FROM SORRISO, MATO GROSSO",1,2012,4,ABRIL
861,2012-03-24 00:00:00,CIRRUS SR20,PP-CIE,PRIVATE,KM 89 RODOVIA CASTELO BRANCO - ITU,0,2012,3,MARCO
862,2012-03-10 00:00:00,LANCAIR LEGACY FG,PT-ZZR,PRIVATE,"AMERICANA, SAO PAULO",2,2012,3,MARCO
863,2012-03-06 00:00:00,EMBRAER EMB-711C CORISCO,PT-NKS,PRIVATE,"NEAR ELISEU MARTINS, PIAUÍ",3,2012,3,MARCO
864,2012-03-02 00:00:00,CESSNA 188B AGPICKUP,PR-STO,,NEAR QUERENCIA DO NORTE,1,2012,3,MARCO
865, 28-FEB-2012,CESSNA 208B GRAND CARAVAN,PT-PTB,CTA - CLEITON TAXI AÉREO,"CA 0,2 KM W OF MANAUS-AEROCLUBE DE FLORES AIRPORT, AM",1,2012,2,FEVEREIRO
866,25-FEB-2012,PIPER PA-34-220T SENECA IV,PR-LAB*,GLOBO AVIAÇÃO TAXI AÉREO E MANUTENÇÃO LTDA,NEAR ACARÁ,3,2012,2,FEVEREIRO
867,24-FEB-2012,AIRBUS A330-200,ZS-SXY,SOUTH AFRICAN AIRWAYS,"SÃO PAULO-GUARULHOS INTERNATIONAL AIRPORT, SP (GRU/SBGR)",0,2012,2,FEVEREIRO
868,22-FEB-2012,EUROCOPTER AS 350BA ECUREUIL,PT-YAK,CORPO DE BOMBEIROS MILITAR DO ESTADO DO PARÁ,"NR MARITUBA, PA",0,2012,2,FEVEREIRO
869,16-FEB-2012,BEECHCRAFT 95-B55 BARON,PT-LOU,NORTE JET TÁXI AÉREO,"NEAR CAMETÁ AIRPORT - CMT, PA",4,2012,2,FEVEREIRO
870, 12-FEB-2012,AIRBUS A320-232,PR-MAR,TAM BRASIL,"PORTO ALEGRE-SALGADO FILHO INTERNATIONAL AIRPORT, RS (POA/SBPA)",0,2012,2,FEVEREIRO
871,07-FEB-2012,CESSNA 152,N25283,GENERAL AVIATION SECURITY INC,"QUELUZITO NEAR BELO HORIZONTE, MINAS GERAIS",0,2012,2,FEVEREIRO
872,2012-01-20 00:00:00,AERO BRAVO 700,PU-AVB,,"JUATUBA, MG",0,2012,1,JANEIRO
873,2012-01-19 00:00:00,ROBINSON R44 RAVEN,PP-MOF,PRIVATE,"LAKE PARANOÁ, DISTRITO FEDERAL",0,2012,1,JANEIRO
874,2012-01-14 00:00:00,BEECHCRAFT A36 BONANZA,PR-RGF,PRIVATE,"NEAR CACERES, MATO GROSSO",3,2012,1,JANEIRO
875,2012-01-08 00:00:00,AIRBUS A320-214,PR-MHX,TAM AIRLINES,"BELÉM/VAL-DE-CÃES INTERNATIONAL AIRPORT , PA (BEL/SBBE)",0,2012,1,JANEIRO
876,24-DEC-2011,CANADIAN HOME ROTORS SAFARI,PR-ZXZ,PRIVATE,NEAR TRINDADE - GOIÁS,0,2011,12,DEZEMBRO
877,09-DEC-2011,ROBINSON R-44 RAVEN,PR-KLA,SASH LOCACAO DE VEICULOS LTDA,"FAZENDA COQUEIROS, SAO BENTO DO SUL, SANTA CATARINA",1,2011,12,DEZEMBRO
