index,data_ocorrencia,modelo,registro,operador,local_acidente,numero_de_vitimas,ano,mes,mes_nome
1583, 27-OCT-1992,BOEING 767-323ER,N39365,AMERICAN AIRLINES,"SÃO PAULO-GUARULHOS INTERNATIONAL AIRPORT, SP (GRU)",0,1992,10,OUTUBRO
1584, 23-OCT-1992,EMBRAER R-95 BANDEIRANTE (EMB-110B),,BRAZILIAN AF,"2 KM SE OF RECIFE-GUARARAPES INTERNATIONAL AIRPORT, PE (REC)",5,1992,10,OUTUBRO
1585,12-OCT-1992,HELIBRAS HB 350B ESQUILO,PT-HMK,MAGIRUS TÁXI AÉREO,"NEAR LARANJEIRAS, RJ",5,1992,10,OUTUBRO
1586, 28-JUL-1992,LEARJET 25C,PT-LHU,CRASA TAXI AÉREO,"ICAPARA, IGUAPE, SP",6,1992,7,JULHO
1587,1992-06-29 00:00:00,WESTLAND SAH-11 LYNX MK 21,N-3022,AVIAÇÃO NAVAL BRASILEIRA,OFF BRAZILIAN COAST,0,1992,6,JUNHO
1588, 22-JUN-1992,BOEING 737-2A1C,PP-SND,VASP,"15 KM FROM CRUZEIRO DO SUL, AC",3,1992,6,JUNHO
1589,1992-06-04 00:00:00,BELL 212,PT-HQF,AERÓLEO TÁXI AEREO,"50 KM FROM MACAÉ, RJ",1,1992,6,JUNHO
1590,28-APR-1992,FAIRCHILD HILLER FH-1100,PT-HUU,EDRA TÁXI AÉREO,TANABI,0,1992,4,ABRIL
1591,27-APR-1992,EMBRAER AT-26 XAVANTE (MB.326GC),,FORÇA AÉREA BRASILEIRA (FAB),"10 KM FROM FORTALEZA-MUCURIPE, CE",1,1992,4,ABRIL
1592, 03-FEB-1992,EMBRAER EMB-110C BANDEIRANTE,PT-TBB,NORDESTE LINHAS AÉREAS,"CAETITÉ, BA",12,1992,2,FEVEREIRO
1593, 11-JAN-1992,BEECH C-12F HURON,85-1269,USAF,"CORUMBÁ INTERNACIONAL AIRPORT, MS (CMG)",0,1992,1,JANEIRO
1594,21-DEC-1991,EMBRAER T-27 TUCANO,,FORÇA AÉREA BRASILEIRA (FAB),,0,1991,12,DEZEMBRO
1595,06-DEC-1991,PIPER PA-34-200 SENECA,PT-JYJ,TÁXI AÉREO AZEITONA,"18 KM FROM BELÉM, PA",1,1991,12,DEZEMBRO
1596,1991-11-30 00:00:00,EMBRAER EMB-720C MINUANO,PT-EBS,,"1,7 KM FROM CATANDUVA (QDE), SP",6,1991,11,NOVEMBRO
1597, 29-NOV-1991,EMBRAER C-95C BANDEIRANTE (EMB-110P2),,BRAZILIAN AF,"33 KM NNE OF GUARATINGUETÁ AIRPORT, SP (GUJ)",16,1991,11,NOVEMBRO
1598,1991-11-20 00:00:00,GRUMMAN S-2E TRACKER (P-16E),,FORÇA AÉREA BRASILEIRA (FAB),"NEAR BA SANTA CRUZ, RJ",0,1991,11,NOVEMBRO
1599, 11-NOV-1991,EMBRAER EMB-110P1 BANDEIRANTE,PT-SCU,NORDESTE LINHAS AÉREAS,"0,5 KM NE OF RECIFE-GUARARAPES INTERNATIONAL AIRPORT, PE (REC)",17,1991,11,NOVEMBRO
1600,1991-11-05 00:00:00,BEECHCRAFT V35A BONANZA,PT-CAW,PRIVATE,"BEBEDOURO, SP",6,1991,11,NOVEMBRO
1601,1991-11-05 00:00:00,NEIVA PAULISTINHA 56-C,PP-GUB,AERO CLUBE DE ITÁPOLIS,"BEBEDOURO, SP",6,1991,11,NOVEMBRO
1602,1991-11-03 00:00:00,CESSNA 170A,PT-AMA,PRIVATE,"RIO PRETO, SP",0,1991,11,NOVEMBRO
1603,31-OCT-1991,NEIVA T-25 UNIVERSAL,,FORCA AÉREA BRASILEIRA (FAB),"SÃO CONRADO, RJ",2,1991,10,OUTUBRO
1604,02-OCT-1991,EMBRAER T-27 TUCANO,,FORÇA AÉREA BRASILEIRA (FAB),,0,1991,10,OUTUBRO
1605,21-APR-1991,FOKKER 100,PT-MRA,"TAM TRANSPORTES AÉREOS REGIONAIS,","SÃO PAULO-CONGONHAS AIRPORT, SP (CGH)",0,1991,4,ABRIL
1606, 18-MAR-1991,LEARJET 25D,PT-LLL,AIR CONESUL TÁXI AÉREO,"8 KM FROM BRASÍLIA INTERNATIONAL AIRPORT, DF (BSB)",4,1991,3,MARCO
1607, 15-MAR-1991,LEARJET 35A,PT-LIH,LÍDER TÁXI AÉREO,"UBERLÂNDIA-EDUARDO GOMES AIRPORT, MG (UDI)",0,1991,3,MARCO
1608,1991-03-12 00:00:00,EMBRAER AT-26 XAVANTE (MB.326GC),,FORÇA AÉREA BRASILEIRA (FAB),"W OF FORTALEZA, CE",3,1991,3,MARCO
1609,1991-03-12 00:00:00,EMBRAER AT-26 XAVANTE (MB.326GC),,FORÇA AÉREA BRASILEIRA (FAB),"W OF FORTALEZA, CE",3,1991,3,MARCO
1610, 06-MAR-1991,EMBRAER EMB-110 BANDEIRANTE,,TABA,UNKNOWN,0,1991,3,MARCO
1611,06-FEB-1991,EMBRAER T-27 TUCANO,,FORÇA AÉREA BRASILEIRA (FAB),,1,1991,2,FEVEREIRO
1612, 11-JAN-1991,LEARJET 25C,PT-KKV,BELAIR,"NEAR BELO HORIZONTE, MG",5,1991,1,JANEIRO
1613, 12-NOV-1990,C-115 BUFFALO (DHC-5),,BRAZILIAN AF,"RIO DE JANEIRO-GALEÃO INTERNATIONAL AIRPORT, RJ (GIG)",9,1990,11,NOVEMBRO
1614,31-OCT-1990,EMBRAER AT-26 XAVANTE (MB.326GC),,FORÇA AÉREA BRASILEIRA (FAB),"BA NATAL, RN",0,1990,10,OUTUBRO
1615, 20-SEP-1990,EMBRAER EMB-110P1 BANDEIRANTE,PT-FAW,PERNAMBUCO STATE GOV.,"OFF FERNANDO DE NORONHA AIRPORT, FN (FEN)",12,1990,9,SETEMBRO
1616,18-SEP-1990,AÉROSPATIALE UH-14 SUPER PUMA (AS 332F1),N-7072,AVIAÇÃO NAVAL BRASILEIRA,90 MI OFF RIO DE JANEIRO,2,1990,9,SETEMBRO
1617,1990-06-30 00:00:00,MITSUBISHI MU-2B-40,N25GM,ROD AERO AIRCRAFT BROKERAGE INC,"NEAR BOA VISTA, RORAIMA",0,1990,6,JUNHO
1618, 06-JUN-1990,FAIRCHILD FH-227B,PT-ICA,TABA,"0,8 KM FROM ALTAMIRA AIRPORT, PA (ATM)",22,1990,6,JUNHO
1619,30-MAY-1990,BEECHCRAFT C90A KING AIR,N31434,TABOCA MINING COMPANY,MANAUS,7,1990,5,MAIO
1620,25-MAY-1990,EMBRAER AT-26 XAVANTE (MB.326GC),,FORÇA AÉREA BRASILEIRA (FAB),"BA FORTALEZA, CE",0,1990,5,MAIO
1621,21-MAY-1990,AERO COMMANDER 560,PT-JFZ,PRIVATE,PORTO VELHO,5,1990,5,MAIO
1622,16-MAY-1990,EMBRAER AT-26 XAVANTE (MB.326GC),,FORÇA AÉREA BRASILEIRA (FAB),"40 KM N OF NATAL, RN",0,1990,5,MAIO
1623,16-MAY-1990,WESTLAND SAH-11 LYNX MK21,N-3028,AVIAÇÃO NAVAL BRASILEIRA,"CASIMIRO DE ABREU, RJ",6,1990,5,MAIO
1624, 06-APR-1990,LEARJET 25C,PT-CMY,TRANSAMÉRICA TÁXI AÉREO,"JUIZ DE FORA-FRANCISCO DE ASSIS AIRPORT, MG (JDF)",2,1990,4,ABRIL
1625,1990-03-27 00:00:00,AÉROSPATIALE CH-34 SUPER PUMA (AS 332M),,FORÇA AÉREA BRASILEIRA (FAB),"PONTO DE POMBEBA, RIO DE JANEIRO",6,1990,3,MARCO
1626,15-FEB-1990,DASSAULT MIRAGE IIIDBR (F-103D),,FORÇA AÉREA BRASILEIRA (FAB),"BA ANÁPOLIS, GO",1,1990,2,FEVEREIRO
1627, 12-FEB-1990,FOKKER F-27 FRIENDSHIP 200,PT-LCG,TAM,"BAURU AIRPORT, SP (BAU)",3,1990,2,FEVEREIRO
1628,1989-11-23 00:00:00,BELL UH-1H (SH-1D),,FORÇA AÉREA BRASILEIRA (FAB),"CAMPO GRANDE, MS",0,1989,11,NOVEMBRO
1629, 05-NOV-1989,LEARJET 25C,PT-ISN,GONAIR TÁXI AÉREO,"CA 15 KM W OF BELO HORIZONTE-PAMPULHA AIRPORT, MG (PLU)",4,1989,11,NOVEMBRO
1630,1989-11-02 00:00:00,EMBRAER T-27 TUCANO,,FORÇA AÉREA BRASILEIRA (FAB),"5 KM FROM CURITIBA, PR",1,1989,11,NOVEMBRO
1631,07-OCT-1989,HELIBRAS HB 350B (ZH-50),,FORÇA AÉREA BRASILEIRA (FAB),"10 KM FROM MANAUS, AM",1,1989,10,OUTUBRO
1632, 03-SEP-1989,BOEING 737-241,PP-VMK,VARIG,"60 KM FROM SÃO JOSÉ DO XINGU, MT",13,1989,9,SETEMBRO
1633, 05-AUG-1989,LEARJET 25D,PT-KYR,LOCADORA BELAUTO,"ILHA DAS ONÇAS, PA",4,1989,8,AGOSTO
1634,18-MAY-1989,BEECHCRAFT,PP-...,,RORAIMA,5,1989,5,MAIO
1635,16-MAY-1989,EMBRAER AT-26 XAVANTE (MB.326GC),,FORÇA AÉREA BRASILEIRA (FAB),"NOVA CRUZ, RN",0,1989,5,MAIO
1636,01-MAY-1989,EMBRAER T-27 TUCANO,,FORÇA AÉREA BRASILEIRA (FAB),"IPATINGA, MG",0,1989,5,MAIO
1637,29-APR-1989,DASSAULT MIRAGE IIIEBR (F-103E),,FORÇA AÉREA BRASILEIRA (FAB),"BA CAMPO GRANDE, MS",0,1989,4,ABRIL
1638, 21-MAR-1989,BOEING 707-349C,PT-TCS,TRANSBRASIL,"2 KM W OF SÃO PAULO-GUARULHOS INTERNATIONAL AIRPORT, SP (GRU)",25,1989,3,MARCO
1639,1989-03-07 00:00:00,BELL 206B-2 JETRANGER II,PT-HJT,AERÓLEO TÁXI AÉREO,"NATAL, RN",5,1989,3,MARCO
1640,25-FEB-1989,BOEING 737-317,PP-SNU,VASP,SAO PAULO AIRPORT,0,1989,2,FEVEREIRO
1641,23-FEB-1989,BOEING 737-375,PT-TEE,TRANSBRASIL,SAO PAULO AIRPORT,0,1989,2,FEVEREIRO
1642, 17-FEB-1989,DASSAULT FALCON 10,PT-ASJ,SERV-JET,"RIO DE JANEIRO-SANTOS DUMONT AIRPORT, RJ (SDU)",0,1989,2,FEVEREIRO
1643,15-FEB-1989,NORTHROP F-5E TIGER II,,FORÇA AÉREA BRASILEIRA (FAB),"AREIAS, SP",0,1989,2,FEVEREIRO
1644,1989-01-08 00:00:00,AGUSTA/SIKORSKY AS-61D-3 (ASH-3D),N-3014,AVIAÇÃO NAVAL BRASILEIRA,ATLANTIC OCEAN,2,1989,1,JANEIRO
1645,1988-11-04 00:00:00,EMBRAER AT-26 XAVANTE (MB.326GC),,FORÇA AÉREA BRASILEIRA (FAB),"NEAR FORTALEZA, CE",0,1988,11,NOVEMBRO
1646,24-OCT-1988,EMBRAER AT-26 XAVANTE (MB.326GC),,FORÇA AÉREA BRASILEIRA (FAB),"BA SANTA MARIA, RS",0,1988,10,OUTUBRO
1647,21-OCT-1988,EMBRAER T-27 TUCANO,,FORCA AÉREA BRASILEIRA (FAB),"43 KM FROM SÃO JOÃO DEL REI, MG",1,1988,10,OUTUBRO
1648,02-OCT-1988,BEECHCRAFT F90 KING AIR,PT-LJR,ARMAR AEROTAXI LTDA.,"SÃO PEDRO DA ALDEIA, RJ",8,1988,10,OUTUBRO
1649, 29-SEP-1988,BOEING 737-317,PP-SNT,VASP,"GOIÂNIA-SANTA GENOVEVA AIRPORT, GO (GYN)",1,1988,9,SETEMBRO
1650,28-SEP-1988,DASSAULT MIRAGE IIIEBR (F-103E),,FORÇA AÉREA BRASILEIRA (FAB),"MANAUS (MAO), AM",0,1988,9,SETEMBRO
1651,28-SEP-1988,DASSAULT MIRAGE IIIEBR (F-103E),,FORÇA AÉREA BRASILEIRA (FAB),"MANAUS (MAO), AM",0,1988,9,SETEMBRO
1652,16-SEP-1988,TWIN,,,SAO PAULO; 70KM N,6,1988,9,SETEMBRO
1653, 06-SEP-1988,CESSNA S550 CITATION S/II,PT-LGJ,BANCO DO COMÉRCIO E INDÚSTRIA DE SÃO PAULO,"RIO DE JANEIRO-SANTOS DUMONT AIRPORT, RJ (SDU)",0,1988,9,SETEMBRO
1654,12-AUG-1988,EMBRAER AT-26 XAVANTE (MB.326GC),,FORÇA AÉREA BRASILEIRA (FAB),,0,1988,8,AGOSTO
1655, 08-JUL-1988,EMBRAER VC-97 BRASILIA (EMB-120RT),,BRAZILIAN AF,"SÃO JOSÉ DOS CAMPOS AIRPORT, SP (SJK)",5,1988,7,JULHO
1656,1988-06-04 00:00:00,GRUMMAN US-2B TRACKER (UP-16),,FORÇA AÉREA BRASILEIRA (FAB),"SALVADOR (SSA), BA",0,1988,6,JUNHO
1657,29-APR-1988,AÉROSPATIALE H-34 SUPER PUMA (AS 332M),87..,FORÇA AÉREA BRASILEIRA (FAB),"90 KM FROM CURITIBA, PR",0,1988,4,ABRIL
1658,13-APR-1988,EMBRAER EMB-711C CORISCO,PT-...,PRIVATE,,0,1988,4,ABRIL
1659,06-APR-1988,GRUMMAN S-2E TRACKER (P-16E),,FORÇA AÉREA BRASILEIRA (FAB),NAEL MINAS GERAIS,0,1988,4,ABRIL
1660, 24-FEB-1988,LEARJET 24F,PT-LMA,TRANSAMÉRICA TÁXI AÉREO,"2 KM FROM MACAÉ AIRPORT, RJ (MEA)",2,1988,2,FEVEREIRO
1661,23-FEB-1988,EMBRAER AT-26 XAVANTE (MB.326GC),,FORÇA AÉREA BRASILEIRA (FAB),"N OF BA NATAL, RN",0,1988,2,FEVEREIRO
1662,23-FEB-1988,EMBRAER AT-26 XAVANTE (MB.326GC),,FORÇA AÉREA BRASILEIRA (FAB),"N OF BA NATAL, RN",0,1988,2,FEVEREIRO
1663,   -   -1987,BN-2A-8 ISLANDER,PT-JYC,VOTEC,,0,1987,1,JANEIRO
1664,29-DEC-1987,NEIVA T-25C UNIVERSAL,,FORCA AÉREA BRASILEIRA (FAB),"90 KM N OF SÃO PAULO, SP",0,1987,12,DEZEMBRO
1665, 14-DEC-1987,LOCKHEED C-130H HERCULES,,BRAZILIAN AF,"CA 16 KM OFF FERNANDO DE NORONHA, FN",29,1987,12,DEZEMBRO
1666,01-DEC-1987,EMBRAER T-27 TUCANO,,FORÇA AÉREA BRASILEIRA (FAB),,0,1987,12,DEZEMBRO
1667,01-DEC-1987,HUGHES 269B,PT-HHD,HELIMAR ESCOLA DE PILOTAGEM DE HELICÓPTEROS,"RIO DE JANEIRO, RJ",0,1987,12,DEZEMBRO
1668,1987-11-25 00:00:00,EMBRAER AT-26 XAVANTE (MB.326GC),,FORÇA AÉREA BRASILEIRA (FAB),"BA FORTALEZA, CE",0,1987,11,NOVEMBRO
1669,1987-11-25 00:00:00,EMBRAER AT-26 XAVANTE (MB.326GC),,FORÇA AÉREA BRASILEIRA (FAB),"CA 10 KM FROM ALEGRETE, RS",2,1987,11,NOVEMBRO
1670,27-OCT-1987,AÉROSPATIALE SA 330J PUMA,PT-HTM,HELIVIA AÉRO TÁXI,"CARAUARI, AM (CAF)",0,1987,10,OUTUBRO
1671,16-OCT-1987,EMBRAER EMB-721C SERTANEJO,PT-EOJ,TAXI AÉREO ILERINGA,"NEAR CAMPO DE MARTE, SP",0,1987,10,OUTUBRO
1672,16-SEP-1987,NORTHROP F-5E TIGER II,4854 ?,FORÇA AÉREA BRASILEIRA (FAB),,0,1987,9,SETEMBRO
1673, 08-SEP-1987,HAWKER SIDDELEY VU-93 (HS-125-403B),,BRAZILIAN AF,"NEAR CARAJÁS AIRPORT, PA (CKS)",9,1987,9,SETEMBRO
1674,31-AUG-1987,HELICOPTER,PT-...,,"MILTON DIAS MOREIRA, RIO DE JANEIRO",2,1987,8,AGOSTO
1675,28-AUG-1987,EMBRAER AT-26 XAVANTE (MB.326GC),,FORÇA AÉREA BRASILEIRA (FAB),,0,1987,8,AGOSTO
1676, 25-JUL-1987,EMBRAER EMB-110P BANDEIRANTE,PT-GKT,RIO SUL,"SANTO ANGELO AIRPORT, RS (GEL)",0,1987,7,JULHO
1677,1987-07-20 00:00:00,EMBRAER T-27 TUCANO,,FORÇA AÉREA BRASILEIRA (FAB),"SAÕ JOSE DOS CAMPOS, SP",1,1987,7,JULHO
1678, 16-JUN-1987,EMBRAER C-95 BANDEIRANTE (EMB-110),,BRAZILIAN AF,"MANAUS, AM",1,1987,6,JUNHO
1679,1987-06-05 00:00:00,HELIBRÁS UH-13 ESQUILO (AS 355),N-7059,BRAZILIAN NAVY,,0,1987,6,JUNHO
1680, 11-APR-1987,BOEING 707-330C,PT-TCO,TRANSBRASIL,"MANAUS-EDUARDO GOMES INTERNATIONAL AIRPORT, AM (MAO)",0,1987,4,ABRIL
1681,05-APR-1987,EMBRAER T-27 TUCANO,,FORÇA AÉREA BRASILEIRA (FAB),,0,1987,4,ABRIL
1682, 26-MAR-1987,EMBRAER C-95B BANDEIRANTE (EMB-110),,BRAZILIAN AF,"NEAR RIO DE JANEIRO, RJ",3,1987,3,MARCO
1683,1987-03-25 00:00:00,EMBRAER AT-26 XAVANTE (MB.326GC),,FORÇA AÉREA BRASILEIRA (FAB),"SAÕ JOSE DOS CAMPOS, SP",0,1987,3,MARCO
1684,02-FEB-1987,CESSNA T210L,PT-ILP,TÁXI AÉREO MARÍNHO,"FLORESTA REGION, MT",4,1987,2,FEVEREIRO
1685, 27-JAN-1987,FOKKER F-27 FRIENDSHIP 200,PT-LCF,BRASIL CENTRAL,"VARGINHA AIRPORT, MG (VAG)",0,1987,1,JANEIRO
1686, 15-JAN-1987,BOEING 707-365C,PT-TCP,TRANSBRASIL,"OVER JABOATÃO, PE",0,1987,1,JANEIRO
1687, 27-NOV-1986,C-115 BUFFALO (DHC-5),,BRAZILIAN AF,"RIO DE JANIERO-AFONSOS AIR FORCE BASE, RJ",0,1986,11,NOVEMBRO
1688,28-OCT-1986,EMBRAER T-27 TUCANO,,FORÇA AÉREA BRASILEIRA (FAB),"SANTA RITA DO PASSA QUATRO, SP",0,1986,10,OUTUBRO
1689,29-SEP-1986,CESSNA,PT-JLP,PRIVATE,"BOM JESUS DO AMPARO, MG",3,1986,9,SETEMBRO
1690, 19-SEP-1986,EMBRAER EMB-120RT BRASILIA,N219AS,"ATLANTIC SOUTHEAST AIRLINES - ASA, OPF. DELTA CONNEC","NEAR MANTIQUEIRA, SP",5,1986,9,SETEMBRO
1691,1986-07-22 00:00:00,PIPER PA-34 SENECA,PT-RCF,ABC TÁXI AÉREO,,0,1986,7,JULHO
1692,1986-06-27 00:00:00,DASSAULT MIRAGE IIIEBR (F-103E),,FORÇA AÉREA BRASILEIRA (FAB),"8 KM FROM BA ANÁPOLIS, GO",0,1986,6,JUNHO
1693,13-APR-1986,EMBRAER T-27 TUCANO,,FORÇA AÉREA BRASILEIRA (FAB),"LONDRINA, PR",0,1986,4,ABRIL
1694, 28-JAN-1986,BOEING 737-2A1,PP-SME,VASP,"SÃO PAULO-GUARULHOS INTERNATIONAL AIRPORT, SP (GRU)",1,1986,1,JANEIRO
1695, 02-DEC-1985,BOEING 747-228B,F-GCBC,AIR FRANCE,"RIO DE JANEIRO-GALEÃO INTERNATIONAL AIRPORT, RJ (GIG)",0,1985,12,DEZEMBRO
1696,1985-11-05 00:00:00,AÉROSPATIALE SA 330J PUMA,PT-HRV,HELIJET AERO TAXI,"PORTO SÉRGIO, AM",0,1985,11,NOVEMBRO
1697, 20-OCT-1985,EMBRAER C-95B BANDEIRANTE (EMB-110),,BRAZILIAN AF,"RIO DE JANEIRO-GALEÃO INTERNATIONAL AIRPORT, RJ (GIG)",0,1985,10,OUTUBRO
1698,17-OCT-1985,EMBRAER AT-26 XAVANTE (MB.326GC),,FORÇA AÉREA BRASILEIRA (FAB),,0,1985,10,OUTUBRO
1699,11-OCT-1985,NEIVA T-25 UNIVERSAL,,FORCA AÉREA BRASILEIRA (FAB),"NEAR PIRAÇUNUNGA, SP",2,1985,10,OUTUBRO
1700, 09-OCT-1985,EMBRAER EMB-110C BANDEIRANTE,PT-GKA,NORDESTE LINHAS AÉREAS,"2 KM SE OF VITÓRIA DA CONQUISTA AIRPORT, BA (VDC)",2,1985,10,OUTUBRO
1701,19-AUG-1985,EMBRAER AT-26 XAVANTE (MB.326GC),,FORÇA AÉREA BRASILEIRA (FAB),"4 MI FROM NATAL, RN",1,1985,8,AGOSTO
1702, 24-JUN-1985,LOCKHEED C-130E HERCULES,,BRAZILIAN AF,"NEAR SANTA MARIA, RS",7,1985,6,JUNHO
1703, 23-JUN-1985,EMBRAER EMB-110P BANDEIRANTE,PT-GJN,TABA,"1 KM FROM JUARA AIRPORT, MT (JUA)",17,1985,6,JUNHO
1704,29-MAY-1985,NORTHROP F-5E TIGER II,,FORÇA AÉREA BRASILEIRA (FAB),"NEAR BA SANTA CRUZ, RJ",1,1985,5,MAIO
1705,29-MAY-1985,EMBRAER T-27 TUCANO,,FORÇA AÉREA BRASILEIRA (FAB),,0,1985,5,MAIO
1706,16-APR-1985,NORTHROP F-5E,4832 ?,FORÇA AÉREA BRASILEIRA (FAB),"PASSA QUATRO, MG",1,1985,4,ABRIL
1707,16-APR-1985,NORTHROP F-5E,4835 ?,FORÇA AÉREA BRASILEIRA (FAB),"PASSA QUATRO, MG",1,1985,4,ABRIL
1708,1985-01-17 00:00:00,NEIVA T-25 UNIVERSAL,,FORÇA AÉREA BRASILEIRA (FAB),"ANALANDIA, SP",1,1985,1,JANEIRO
1709,20-DEC-1984,EMBRAER EMB-711ST CORSICO,PT-NJS,PRIVATE,"100 KM N OF RIO DE JANEIRO, RJ",4,1984,12,DEZEMBRO
1710,13-DEC-1984,EMBRAER EMB-711B CORISCO,PT-NSW,PRIVATE,"NEAR BA CANOAS, SP",1,1984,12,DEZEMBRO
1711,10-OCT-1984,CESSNA 175 SKYLARK,PT-BDR,PRIVATE,"SÃO PAULO, SP",0,1984,10,OUTUBRO
1712,25-SEP-1984,WESTLAND SAH-11 LYNX MK21,N-3020,AVIAÇÃO NAVAL BRASILEIRA,OFF BRAZILIAN COAST,0,1984,9,SETEMBRO
1713,24-SEP-1984,PIPER PA-31-350 NAVAJO CHIEFTAIN,PT-BKB,MECON TÁXI AÉREO,"6 KM FROM ARIPUANÃ, MATO GROSSO",8,1984,9,SETEMBRO
1714,24-SEP-1984,EMBRAER EMB-711C CORISCO,PT-NNC,PRIVATE,"JANUÁRIA, MG",1,1984,9,SETEMBRO
1715,20-SEP-1984,NORTHROP F-5E TIGER II,,FORCA AÉREA BRASILEIRA (FAB),,0,1984,9,SETEMBRO
1716,11-AUG-1984,NORTHROP F-5E TIGER II,,FORÇA AÉREA BRASILEIRA (FAB),"BA RECIFE, RE",0,1984,8,AGOSTO
1717, 03-AUG-1984,FOKKER F-27 FRIENDSHIP 200,PT-LCZ,RIO SUL,"RIO DE JANEIRO-SANTOS DUMONT AIRPORT, RJ (SDU)",0,1984,8,AGOSTO
1718,1984-07-26 00:00:00,DASSAULT MIRAGE IIIDBR (F-103D),,FORÇA AÉREA BRASILEIRA (FAB),"NEAR JARAGUÁ, GO",0,1984,7,JULHO
1719, 11-JUL-1984,EMBRAER P-95 BANDEIRULHA (EMB-111A),,BRAZILIAN AF,"RECIFE, PE",0,1984,7,JULHO
1720,1984-06-28 00:00:00,EMBRAER EMB-712 TUPI,PT-NYG,AERO CLUBE DE PIRACICABA,"NEAR PEDRA DA CÁVEA, RJ",3,1984,6,JUNHO
1721, 28-JUN-1984,EMBRAER EMB-110C BANDEIRANTE,PP-SBC,TAM,"4 KM W OF RIO DAS OSTRAS, RJ",18,1984,6,JUNHO
1722, 18-APR-1984,EMBRAER EMB-110EJ BANDEIRANTE,PT-GJZ,VOTEC,"NEAR IMPERATRIZ AIRPORT, MA (IMP)",19,1984,4,ABRIL
1723, 18-APR-1984,EMBRAER EMB-110P BANDEIRANTE,PT-GKL,VOTEC,"NEAR IMPERATRIZ AIRPORT, MA (IMP)",19,1984,4,ABRIL
1724,08-APR-1984,BELL 206B-3 JETRANGER III,PT-HPF,LIDER TÁXI AÉREO,"NEAR MACAU, RIO GRANDE DO NORTE",1,1984,4,ABRIL
1725, 28-MAR-1984,LEARJET 24D,PT-LCN,LÍDER TÁXI AÉREO,"23 KM FROM FLORIANOPOLIS, SC",4,1984,3,MARCO
1726,1984-03-14 00:00:00,HUGHES 500D (369D),PT-HOG,VOTEC,"OFF MACAÉ, RJ",2,1984,3,MARCO
1727,1984-01-24 00:00:00,STINSON L-5,PT-DPA,PROGAER PUBLICIDADE,"PRAIA DE SAO CONRADO, SP",1,1984,1,JANEIRO
1728,1984-01-17 00:00:00,PIPER PA-31-350 NAVAJO CHIEFTAIN,PT-IMF,TÁXI AÉREO CANDEIAS,"57 RUA DOUTOR GENÉSIO PEREIRA, CARANDIRU, SÃO PAULO",7,1984,1,JANEIRO
1729,11-DEC-1983,EMBRAER T-27 TUCANO,,EMBRAER,"NEAR SÃO JOSÉ DOS CAMPOS, SP",0,1983,12,DEZEMBRO
1730,1983-11-07 00:00:00,SIKORSKY S-76A,PT-HKD,VOTEC,"OFF MACAÉ, RJ",0,1983,11,NOVEMBRO
1731,10-OCT-1983,NORTH AMERICAN AT-6 TEXAN,PT-QSZ,,"LIMEIRA, SP",2,1983,10,OUTUBRO
1732,10-OCT-1983,NEIVA C-42 REGENTE,,FORÇA AÉREA BRASILEIRA (FAB),"NEAR PORTO DAS CAIXAS, RJ",0,1983,10,OUTUBRO
1733,07-OCT-1983,BELL 206B-2 JETRANGER (UH-6),N-7029,AVIAÇÃO NAVAL BRASILEIRA,,0,1983,10,OUTUBRO
1734,07-OCT-1983,CESSNA 170B,PT-AUE,PRIVATE,"NOVA IGUAÇU, RJ",3,1983,10,OUTUBRO
1735, 07-OCT-1983,EMBRAER EMB-110C BANDEIRANTE,PP-SBH,TAM,"ARAÇATUBA AIRPORT, SP (ARU)",7,1983,10,OUTUBRO
1736,27-SEP-1983,BELL 214B,PT-HKQ,LÍDER TÁXI AÉREO,"CARAUARI, AM",0,1983,9,SETEMBRO
1737,25-AUG-1983,SIKORSKY S-58ET,PT-HGO,VOTEC,OFF MACAÉ,0,1983,8,AGOSTO
1738,1983-07-10 00:00:00,HELICOPTER,,,RIO ITAJAI,0,1983,7,JULHO
1739,1983-07-01 00:00:00,EMBRAER AT-26 XAVANTE (MB.326GC),,FORÇA AÉREA BRASILEIRA (FAB),"NEAR CAMOBI, RS",2,1983,7,JULHO
1740,1983-06-26 00:00:00,NORTH AMERICAN T-6 TEXAN (SNJ-5C),PT-KSX,PRIVATE,"LEN COIS, SP",2,1983,6,JUNHO
1741,05-MAY-1983,WESTLAND WASP HAS1,XV638,ROYAL NAVY FLEET AIR ARM,"80 MI E OF NATAL, RN",0,1983,5,MAIO
1742,03-MAY-1983,PIPER PA-28R-200 CHEROKEE ARROW II,PT-KRG,PRIVATE,,3,1983,5,MAIO
1743,1983-03-09 00:00:00,BELL 212,PT-HJN,AERÓLEO TÁXI AÉREO,"OFF MACAÉ, RJ",11,1983,3,MARCO
1744, 22-FEB-1983,BOEING 737-2A1C,PP-SNC,VASP,"MANAUS-EDUARDO GOMES INTERNATIONAL AIRPORT, AM (MAO)",2,1983,2,FEVEREIRO
1745,07-FEB-1983,PIPER PA-23-250 AZTEC,PT-BAV,ESCOLA SUPERIOR DE AVIAÇÃO,"BRAGANÇA PAULISTA, SP",1,1983,2,FEVEREIRO
1746,06-FEB-1983,AIRPLANE,PT-KCI,PRIVATE,SÃO PAULO,0,1983,2,FEVEREIRO
